Designator,Mid X,Mid Y,Rotation,Layer
C1,139.047499,-110.612499,0.0,top
C10,158.309999,-109.75,90.0,top
C11,158.809999,-93.65,90.0,top
C12,154.109999,-97.725,270.0,top
C13,150.359999,-113.42,270.0,top
C14,150.359999,-111.5,90.0,top
C2,141.947499,-109.299999,0.0,top
C27,144.809999,-90.75,270.0,top
C28,142.209999,-87.45,180.0,top
C29,135.909999,-96.494544,90.0,top
C30,141.009999,-94.75,90.0,top
C31,138.909999,-96.494544,90.0,top
C32,144.009999,-105.15,270.0,top
C33,149.309999,-102.65,0.0,top
C34,149.909999,-101.35,0.0,top
C35,146.0,-94.7,90.0,top
C36,138.909999,-98.494544,270.0,top
C37,135.9,-98.50962,270.0,top
C39,134.509999,-99.094544,270.0,top
C5,162.034999,-99.35,0.0,top
C6,155.009999,-103.75,0.0,top
C7,152.809999,-97.15,90.0,top
C8,159.709999,-108.55,270.0,top
C9,162.309999,-109.37,90.0,top
D1,149.159999,-90.45,270.0,top
D3,161.509999,-101.85,270.0,top
D4,147.009999,-90.474999,270.0,top
D5,149.329999,-103.65,180.0,top
J1,166.7625,-105.3,90.0,top
J10,139.744999,-114.05,90.0,top
J2,161.43,-114.25,90.0,top
J3,159.809999,-87.65,270.0,top
J4,153.584999,-87.65,90.0,top
J5,168.459999,-90.085,0.0,top
J6,168.409999,-96.285,0.0,top
L1,154.809999,-101.25,180.0,top
L2,161.009999,-108.857501,270.0,top
L5,137.436344,-96.986117,0.0,top
L6,137.409999,-98.05,180.0,top
Q1,161.709999,-95.812499,90.0,top
R1,149.009999,-88.05,180.0,top
R12,142.109999,-94.77,90.0,top
R13,138.409999,-100.094544,0.0,top
R14,145.0,-94.7,90.0,top
R2,143.9,-94.7,90.0,top
R3,164.02,-88.65,180.0,top
R4,158.109999,-101.275,180.0,top
R5,147.009999,-88.05,0.0,top
R6,165.609999,-90.45,90.0,top
R7,164.0,-89.75,180.0,top
R8,145.7,-109.4,180.0,top
SW3,152.759999,-113.0,270.0,top
SW4,147.859999,-113.05,270.0,top
U1,139.147499,-108.5,0.0,top
U2,161.8475,-92.112499,0.0,top
U3,159.209999,-105.95,180.0,top
U4,158.609999,-99.375001,180.0,top
U5,154.434999,-93.287501,270.0,top
U7,144.109999,-100.05,90.0,top
Y2,142.559999,-90.15,270.0,top
