FFT Length,524288
Record Length,262144
FFT Sample Rate,+2.000000E+09,
Delta Frequency,+3.814697E+03,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+09,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS2204X Plus
Serial Number,SDS2PEEQ6R2981
Software Version,5.4.1.5.2R1
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-1.900849E-04,+6.978739E-05,-7.387189E+01,+2.789732E+00
+3.814697E+03,+1.931051E-04,+3.227285E-05,-7.416448E+01,+1.655954E-01
+7.629395E+03,+1.156546E-04,-3.119835E-05,-7.843169E+01,-2.634830E-01
+1.144409E+04,+9.168869E-05,+8.508244E-06,-8.071645E+01,+9.252994E-02
+1.525879E+04,+7.565446E-05,-2.006414E-05,-8.212811E+01,-2.592398E-01
+1.907349E+04,+6.086617E-05,+1.816231E-06,-8.430862E+01,+2.983088E-02
+2.288818E+04,+5.682196E-05,-5.919514E-06,-8.486280E+01,-1.038021E-01
+2.670288E+04,+5.115712E-05,-3.135160E-06,-8.580560E+01,-6.120837E-02
+3.051758E+04,+4.471064E-05,+8.829487E-06,-8.682563E+01,+1.949720E-01
+3.433228E+04,+4.099307E-05,-1.402502E-06,-8.774071E+01,-3.419980E-02
+3.814697E+04,+3.471304E-05,+1.073357E-06,-8.918600E+01,+3.091100E-02
+4.196167E+04,+3.023822E-05,-1.931064E-06,-9.037120E+01,-6.377511E-02
+4.577637E+04,+2.827949E-05,+6.438581E-06,-9.075108E+01,+2.238607E-01
+4.959106E+04,+2.829284E-05,-1.021177E-06,-9.096082E+01,-3.607744E-02
+5.340576E+04,+2.676985E-05,+3.765182E-06,-9.136201E+01,+1.397335E-01
+5.722046E+04,+2.316260E-05,+1.908168E-06,-9.267488E+01,+8.219583E-02
+6.103516E+04,+2.232037E-05,-2.013810E-06,-9.299076E+01,-8.997934E-02
+6.484985E+04,+2.243024E-05,-2.915499E-06,-9.291056E+01,-1.292561E-01
+6.866455E+04,+2.207501E-05,+2.131090E-07,-9.312158E+01,+9.653557E-03
+7.247925E+04,+2.119826E-05,-6.580980E-06,-9.307439E+01,-3.010152E-01
+7.629395E+04,+2.088153E-05,+3.309766E-06,-9.349699E+01,+1.571944E-01
+8.010864E+04,+2.005974E-05,-2.506909E-06,-9.388619E+01,-1.243276E-01
+8.392334E+04,+1.919038E-05,+4.879605E-06,-9.406624E+01,+2.489967E-01
+8.773804E+04,+1.640284E-05,-5.637663E-06,-9.521670E+01,-3.310518E-01
+9.155273E+04,+1.770480E-05,+2.442052E-06,-9.495633E+01,+1.370668E-01
+9.536743E+04,+1.821087E-05,+1.742109E-06,-9.475382E+01,+9.537292E-02
+9.918213E+04,+1.767680E-05,+9.693036E-07,-9.503889E+01,+5.477995E-02
+1.029968E+05,+1.851032E-05,+1.516272E-06,-9.462268E+01,+8.173250E-02
+1.068115E+05,+1.954919E-05,-5.279269E-07,-9.417426E+01,-2.699850E-02
+1.106262E+05,+1.867918E-05,+1.078197E-07,-9.457270E+01,+5.772124E-03
+1.144409E+05,+1.849992E-05,-2.733020E-06,-9.456284E+01,-1.466706E-01
+1.182556E+05,+1.813845E-05,-4.254040E-06,-9.459545E+01,-2.303680E-01
+1.220703E+05,+1.931981E-05,-1.479259E-07,-9.427969E+01,-7.656547E-03
+1.258850E+05,+1.999403E-05,+4.158565E-07,-9.398012E+01,+2.079604E-02
+1.296997E+05,+2.028567E-05,+4.364525E-06,-9.365969E+01,+2.119225E-01
+1.335144E+05,+2.079641E-05,-2.861613E-06,-9.355877E+01,-1.367426E-01
+1.373291E+05,+2.217961E-05,-4.127101E-06,-9.293310E+01,-1.839723E-01
+1.411438E+05,+2.435194E-05,+7.201509E-07,-9.226553E+01,+2.956401E-02
+1.449585E+05,+3.313248E-05,-4.811297E-06,-8.950430E+01,-1.442059E-01
+1.487732E+05,+8.243700E-05,+1.187279E-05,-8.158839E+01,+1.430390E-01
+1.525879E+05,+8.974545E-05,-2.280584E-06,-8.093695E+01,-2.540623E-02
+1.564026E+05,+6.305950E-05,+3.409300E-06,-8.399232E+01,+5.401223E-02
+1.602173E+05,+2.697534E-05,+5.711386E-07,-9.137872E+01,+2.116946E-02
+1.640320E+05,+2.323959E-05,-2.542282E-06,-9.262377E+01,-1.089612E-01
+1.678467E+05,+2.210493E-05,-2.427378E-06,-9.305816E+01,-1.093734E-01
+1.716614E+05,+2.130644E-05,+2.768586E-06,-9.335706E+01,+1.292173E-01
+1.754761E+05,+1.960788E-05,-4.928013E-06,-9.388538E+01,-2.462284E-01
+1.792908E+05,+1.997151E-05,+1.762395E-07,-9.399144E+01,+8.824313E-03
+1.831055E+05,+1.982324E-05,+1.501390E-06,-9.403166E+01,+7.559454E-02
+1.869202E+05,+1.911114E-05,+4.139114E-06,-9.417519E+01,+2.132871E-01
+1.907349E+05,+1.886300E-05,+2.271984E-06,-9.442523E+01,+1.198692E-01
+1.945496E+05,+1.895488E-05,+2.950381E-06,-9.434161E+01,+1.544138E-01
+1.983643E+05,+1.826783E-05,-4.062425E-06,-9.455663E+01,-2.188206E-01
+2.021790E+05,+1.720873E-05,+2.976106E-06,-9.515704E+01,+1.712478E-01
+2.059937E+05,+1.717712E-05,+6.022685E-07,-9.529566E+01,+3.504790E-02
+2.098083E+05,+1.814272E-05,+7.414590E-07,-9.481870E+01,+4.084539E-02
+2.136230E+05,+1.885754E-05,-3.471788E-06,-9.434554E+01,-1.820672E-01
+2.174377E+05,+1.818631E-05,-2.680896E-06,-9.471175E+01,-1.463587E-01
+2.212524E+05,+1.991858E-05,+1.815585E-06,-9.397890E+01,+9.089912E-02
